layer,probe_acc_mlp,chance
0,0.0655982905982906,0.041666666666666664
1,0.07670940170940171,0.041666666666666664
2,0.06837606837606837,0.041666666666666664
3,0.05000000000000001,0.041666666666666664
4,0.036111111111111115,0.041666666666666664
5,0.06282051282051282,0.041666666666666664
6,0.03888888888888889,0.041666666666666664
7,0.041666666666666664,0.041666666666666664
8,0.07735042735042735,0.041666666666666664
9,0.05170940170940171,0.041666666666666664
10,0.03504273504273504,0.041666666666666664
11,0.025641025641025644,0.041666666666666664
12,0.04337606837606838,0.041666666666666664
13,0.012820512820512822,0.041666666666666664
14,0.03397435897435897,0.041666666666666664
15,0.019444444444444445,0.041666666666666664
16,0.02777777777777778,0.041666666666666664
17,0.038461538461538464,0.041666666666666664
18,0.011111111111111112,0.041666666666666664
19,0.012820512820512822,0.041666666666666664
20,0.011111111111111112,0.041666666666666664
21,0.025641025641025644,0.041666666666666664
22,0.02393162393162393,0.041666666666666664
23,0.02393162393162393,0.041666666666666664
24,0.04337606837606838,0.041666666666666664
