layer,probe_acc,chance
0,0.05964912280701754,0.07692307692307693
1,0.037426900584795315,0.07692307692307693
2,0.02631578947368421,0.07692307692307693
3,0.037426900584795315,0.07692307692307693
4,0.028654970760233916,0.07692307692307693
5,0.02729044834307992,0.07692307692307693
6,0.018518518518518517,0.07692307692307693
7,0.03654970760233918,0.07692307692307693
8,0.026803118908382065,0.07692307692307693
9,0.02729044834307992,0.07692307692307693
10,0.018031189083820662,0.07692307692307693
11,0.008771929824561403,0.07692307692307693
12,0.03557504873294347,0.07692307692307693
13,0.03508771929824561,0.07692307692307693
14,0.017543859649122806,0.07692307692307693
15,0.04434697855750488,0.07692307692307693
16,0.02631578947368421,0.07692307692307693
17,0.04434697855750488,0.07692307692307693
18,0.06423001949317737,0.07692307692307693
19,0.0753411306042885,0.07692307692307693
20,0.03508771929824561,0.07692307692307693
21,0.03791423001949317,0.07692307692307693
22,0.06374269005847953,0.07692307692307693
23,0.0665692007797271,0.07692307692307693
24,0.0577972709551657,0.07692307692307693
25,0.05730994152046783,0.07692307692307693
26,0.037426900584795315,0.07692307692307693
27,0.03791423001949317,0.07692307692307693
28,0.039766081871345026,0.07692307692307693
29,0.046686159844054574,0.07692307692307693
30,0.046686159844054574,0.07692307692307693
31,0.048538011695906436,0.07692307692307693
32,0.09990253411306042,0.07692307692307693
