layer,probe_acc_mlp,chance
0,0.11137011847301448,0.08333333333333333
1,0.11187289746965041,0.08333333333333333
2,0.07926844132416751,0.08333333333333333
3,0.07780581151577202,0.08333333333333333
4,0.12174260153088586,0.08333333333333333
5,0.09396482375310809,0.08333333333333333
6,0.06588233143191458,0.08333333333333333
7,0.06909402271951635,0.08333333333333333
8,0.09007971332455755,0.08333333333333333
9,0.10361818048851834,0.08333333333333333
10,0.10069292087172736,0.08333333333333333
11,0.07472819462727318,0.08333333333333333
12,0.08313526888011312,0.08333333333333333
13,0.09988542733167567,0.08333333333333333
14,0.11180890741553313,0.08333333333333333
15,0.11685193310906343,0.08333333333333333
16,0.14266430208180977,0.08333333333333333
17,0.10975513139291111,0.08333333333333333
18,0.11685193310906343,0.08333333333333333
19,0.0700538735312759,0.08333333333333333
20,0.0925021939447126,0.08333333333333333
21,0.11912205645751062,0.08333333333333333
22,0.11298510555311785,0.08333333333333333
23,0.10990748866461897,0.08333333333333333
24,0.12541136463361124,0.08333333333333333
25,0.11187289746965041,0.08333333333333333
26,0.09265455121642047,0.08333333333333333
27,0.09667373604407392,0.08333333333333333
28,0.11896969918580273,0.08333333333333333
29,0.0925021939447126,0.08333333333333333
30,0.09023207059626541,0.08333333333333333
31,0.10588830383696553,0.08333333333333333
32,0.10508081029691385,0.08333333333333333
