layer,probe_acc_mlp,chance
0,0.06705653021442495,0.07692307692307693
1,0.06423001949317737,0.07692307692307693
2,0.0665692007797271,0.07692307692307693
3,0.09337231968810915,0.07692307692307693
4,0.06286549707602339,0.07692307692307693
5,0.0652046783625731,0.07692307692307693
6,0.10545808966861599,0.07692307692307693
7,0.05594541910331383,0.07692307692307693
8,0.0601364522417154,0.07692307692307693
9,0.07212475633528265,0.07692307692307693
10,0.05643274853801169,0.07692307692307693
11,0.08460038986354775,0.07692307692307693
12,0.05643274853801169,0.07692307692307693
13,0.07582846003898634,0.07692307692307693
14,0.04580896686159844,0.07692307692307693
15,0.05643274853801169,0.07692307692307693
16,0.029142300194931775,0.07692307692307693
17,0.07495126705653021,0.07692307692307693
18,0.03148148148148148,0.07692307692307693
19,0.04717348927875243,0.07692307692307693
20,0.06842105263157895,0.07692307692307693
21,0.05594541910331383,0.07692307692307693
22,0.07680311890838205,0.07692307692307693
23,0.011111111111111112,0.07692307692307693
24,0.07212475633528265,0.07692307692307693
25,0.0813840155945419,0.07692307692307693
26,0.06705653021442495,0.07692307692307693
27,0.0726120857699805,0.07692307692307693
28,0.08226120857699805,0.07692307692307693
29,0.04483430799220273,0.07692307692307693
30,0.06569200779727095,0.07692307692307693
31,0.05360623781676413,0.07692307692307693
32,0.09717348927875243,0.07692307692307693
