layer,probe_acc_mlp,chance
0,0.03397435897435897,0.041666666666666664
1,0.022222222222222223,0.041666666666666664
2,0.04722222222222222,0.041666666666666664
3,0.019444444444444445,0.041666666666666664
4,0.011111111111111112,0.041666666666666664
5,0.03333333333333333,0.041666666666666664
6,0.019444444444444445,0.041666666666666664
7,0.03504273504273504,0.041666666666666664
8,0.046153846153846156,0.041666666666666664
9,0.06452991452991452,0.041666666666666664
10,0.03226495726495726,0.041666666666666664
11,0.03504273504273504,0.041666666666666664
12,0.02393162393162393,0.041666666666666664
13,0.038461538461538464,0.041666666666666664
14,0.0579059829059829,0.041666666666666664
15,0.008333333333333333,0.041666666666666664
16,0.060042735042735045,0.041666666666666664
17,0.02115384615384615,0.041666666666666664
18,0.03226495726495726,0.041666666666666664
19,0.02115384615384615,0.041666666666666664
20,0.0,0.041666666666666664
21,0.0735042735042735,0.041666666666666664
22,0.02393162393162393,0.041666666666666664
23,0.05619658119658119,0.041666666666666664
24,0.045085470085470085,0.041666666666666664
25,0.011111111111111112,0.041666666666666664
26,0.05170940170940171,0.041666666666666664
27,0.03888888888888889,0.041666666666666664
28,0.019444444444444445,0.041666666666666664
29,0.030555555555555558,0.041666666666666664
30,0.016666666666666666,0.041666666666666664
31,0.02115384615384615,0.041666666666666664
32,0.02393162393162393,0.041666666666666664
