layer,probe_acc,chance
0,0.12878787878787878,0.08333333333333333
1,0.7368686868686868,0.08333333333333333
2,0.6121212121212122,0.08333333333333333
3,0.5262626262626263,0.08333333333333333
4,0.47373737373737373,0.08333333333333333
5,0.47373737373737373,0.08333333333333333
6,0.4904040404040404,0.08333333333333333
7,0.48484848484848486,0.08333333333333333
8,0.4904040404040404,0.08333333333333333
9,0.46818181818181825,0.08333333333333333
10,0.46818181818181825,0.08333333333333333
11,0.4611111111111111,0.08333333333333333
12,0.5222222222222223,0.08333333333333333
13,0.48484848484848486,0.08333333333333333
14,0.47373737373737373,0.08333333333333333
15,0.5388888888888889,0.08333333333333333
16,0.5318181818181817,0.08333333333333333
17,0.47929292929292927,0.08333333333333333
18,0.5055555555555555,0.08333333333333333
19,0.45555555555555555,0.08333333333333333
20,0.4292929292929293,0.08333333333333333
21,0.4252525252525252,0.08333333333333333
22,0.4212121212121212,0.08333333333333333
23,0.38383838383838387,0.08333333333333333
24,0.4252525252525252,0.08333333333333333
