layer,probe_acc,chance
0,0.09571388523231437,0.08333333333333333
1,0.12394873482521573,0.08333333333333333
2,0.10925235239627518,0.08333333333333333
3,0.13170067280971187,0.08333333333333333
4,0.16899773292379697,0.08333333333333333
5,0.14866717858709957,0.08333333333333333
6,0.14720454877870412,0.08333333333333333
7,0.16965286919214081,0.08333333333333333
8,0.161093437667593,0.08333333333333333
9,0.16803788211203743,0.08333333333333333
10,0.1401077470625518,0.08333333333333333
11,0.13235580907805566,0.08333333333333333
12,0.12752913071035055,0.08333333333333333
13,0.11283274828140999,0.08333333333333333
14,0.13462593242650286,0.08333333333333333
15,0.11912205645751062,0.08333333333333333
16,0.12460387109355957,0.08333333333333333
17,0.13089317926966018,0.08333333333333333
18,0.14478206815854908,0.08333333333333333
19,0.13849275998244845,0.08333333333333333
20,0.14207315586758326,0.08333333333333333
21,0.09717651504070986,0.08333333333333333
22,0.12379637755350788,0.08333333333333333
23,0.1105626249329628,0.08333333333333333
24,0.10281068694846666,0.08333333333333333
