layer,probe_acc_mlp,chance
0,0.02948717948717949,0.041666666666666664
1,0.045085470085470085,0.041666666666666664
2,0.045085470085470085,0.041666666666666664
3,0.02948717948717949,0.041666666666666664
4,0.048931623931623924,0.041666666666666664
5,0.041666666666666664,0.041666666666666664
6,0.02948717948717949,0.041666666666666664
7,0.008333333333333333,0.041666666666666664
8,0.02777777777777778,0.041666666666666664
9,0.02777777777777778,0.041666666666666664
10,0.02115384615384615,0.041666666666666664
11,0.03397435897435897,0.041666666666666664
12,0.0405982905982906,0.041666666666666664
13,0.024999999999999998,0.041666666666666664
14,0.03226495726495726,0.041666666666666664
15,0.02115384615384615,0.041666666666666664
16,0.05170940170940171,0.041666666666666664
17,0.008333333333333333,0.041666666666666664
18,0.008333333333333333,0.041666666666666664
19,0.036111111111111115,0.041666666666666664
20,0.024999999999999998,0.041666666666666664
21,0.04722222222222222,0.041666666666666664
22,0.02393162393162393,0.041666666666666664
23,0.02393162393162393,0.041666666666666664
24,0.03226495726495726,0.041666666666666664
25,0.02393162393162393,0.041666666666666664
26,0.02777777777777778,0.041666666666666664
27,0.016666666666666666,0.041666666666666664
28,0.0405982905982906,0.041666666666666664
29,0.019444444444444445,0.041666666666666664
30,0.03226495726495726,0.041666666666666664
31,0.03226495726495726,0.041666666666666664
32,0.036111111111111115,0.041666666666666664
