layer,probe_acc_mlp,chance
0,0.08791423001949317,0.07692307692307693
1,0.06754385964912281,0.07692307692307693
2,0.08742690058479531,0.07692307692307693
3,0.06062378167641325,0.07692307692307693
4,0.049025341130604284,0.07692307692307693
5,0.05409356725146199,0.07692307692307693
6,0.05409356725146199,0.07692307692307693
7,0.0837231968810916,0.07692307692307693
8,0.04434697855750488,0.07692307692307693
9,0.04717348927875243,0.07692307692307693
10,0.06471734892787524,0.07692307692307693
11,0.029142300194931775,0.07692307692307693
12,0.009259259259259259,0.07692307692307693
13,0.06471734892787524,0.07692307692307693
14,0.04766081871345029,0.07692307692307693
15,0.045321637426900575,0.07692307692307693
16,0.03654970760233918,0.07692307692307693
17,0.07358674463937621,0.07692307692307693
18,0.08235867446393762,0.07692307692307693
19,0.07212475633528265,0.07692307692307693
20,0.0587719298245614,0.07692307692307693
21,0.05828460038986355,0.07692307692307693
22,0.08284600389863547,0.07692307692307693
23,0.0638401559454191,0.07692307692307693
24,0.06432748538011696,0.07692307692307693
