layer,probe_acc,chance
0,0.011111111111111112,0.07692307692307693
1,0.028654970760233916,0.07692307692307693
2,0.028654970760233916,0.07692307692307693
3,0.037426900584795315,0.07692307692307693
4,0.037426900584795315,0.07692307692307693
5,0.028654970760233916,0.07692307692307693
6,0.02631578947368421,0.07692307692307693
7,0.02631578947368421,0.07692307692307693
8,0.017543859649122806,0.07692307692307693
9,0.026803118908382065,0.07692307692307693
10,0.04434697855750488,0.07692307692307693
11,0.03557504873294347,0.07692307692307693
12,0.04434697855750488,0.07692307692307693
13,0.03557504873294347,0.07692307692307693
14,0.04434697855750488,0.07692307692307693
15,0.02631578947368421,0.07692307692307693
16,0.02631578947368421,0.07692307692307693
17,0.02631578947368421,0.07692307692307693
18,0.017543859649122806,0.07692307692307693
19,0.017543859649122806,0.07692307692307693
20,0.02631578947368421,0.07692307692307693
21,0.02631578947368421,0.07692307692307693
22,0.02631578947368421,0.07692307692307693
23,0.017543859649122806,0.07692307692307693
24,0.017543859649122806,0.07692307692307693
25,0.03508771929824561,0.07692307692307693
26,0.03508771929824561,0.07692307692307693
27,0.03508771929824561,0.07692307692307693
28,0.017543859649122806,0.07692307692307693
29,0.02631578947368421,0.07692307692307693
30,0.017543859649122806,0.07692307692307693
31,0.017543859649122806,0.07692307692307693
32,0.019883040935672513,0.07692307692307693
