layer,probe_acc,chance
0,0.18571428571428572,0.125
1,0.1884920634920635,0.125
2,0.2714285714285714,0.125
3,0.25436507936507935,0.125
4,0.24325396825396828,0.125
5,0.30912698412698414,0.125
6,0.24126984126984127,0.125
7,0.2634920634920635,0.125
8,0.2492063492063492,0.125
9,0.26626984126984127,0.125
10,0.2523809523809524,0.125
11,0.2492063492063492,0.125
12,0.2571428571428571,0.125
13,0.2702380952380952,0.125
14,0.28730158730158734,0.125
15,0.2515873015873016,0.125
16,0.22777777777777777,0.125
17,0.24047619047619048,0.125
18,0.23253968253968252,0.125
19,0.2138888888888889,0.125
20,0.20793650793650795,0.125
21,0.21071428571428572,0.125
22,0.17063492063492067,0.125
23,0.20952380952380953,0.125
24,0.18531746031746033,0.125
25,0.19325396825396826,0.125
26,0.20952380952380953,0.125
27,0.18452380952380953,0.125
28,0.2043650793650794,0.125
29,0.2043650793650794,0.125
30,0.21626984126984125,0.125
31,0.24047619047619048,0.125
32,0.2265873015873016,0.125
