layer,probe_acc,chance
0,0.4666666666666667,0.3333333333333333
1,0.37777777777777777,0.3333333333333333
2,0.37777777777777777,0.3333333333333333
3,0.4888888888888889,0.3333333333333333
4,0.4666666666666667,0.3333333333333333
5,0.4666666666666667,0.3333333333333333
6,0.5111111111111111,0.3333333333333333
7,0.4666666666666667,0.3333333333333333
8,0.4,0.3333333333333333
9,0.4222222222222222,0.3333333333333333
10,0.5111111111111111,0.3333333333333333
11,0.4888888888888889,0.3333333333333333
12,0.4888888888888889,0.3333333333333333
13,0.4888888888888889,0.3333333333333333
14,0.4444444444444444,0.3333333333333333
15,0.4,0.3333333333333333
16,0.4,0.3333333333333333
17,0.4,0.3333333333333333
18,0.4222222222222222,0.3333333333333333
19,0.4,0.3333333333333333
20,0.37777777777777777,0.3333333333333333
21,0.4222222222222222,0.3333333333333333
22,0.37777777777777777,0.3333333333333333
23,0.37777777777777777,0.3333333333333333
24,0.4222222222222222,0.3333333333333333
