layer,probe_acc,chance
0,0.8333333333333334,0.5
1,0.8,0.5
2,0.8333333333333334,0.5
3,0.8,0.5
4,0.8666666666666667,0.5
5,0.8333333333333334,0.5
6,0.8,0.5
7,0.8,0.5
8,0.7666666666666667,0.5
9,0.8,0.5
10,0.8,0.5
11,0.8,0.5
12,0.7666666666666667,0.5
13,0.7666666666666667,0.5
14,0.7666666666666667,0.5
15,0.7666666666666667,0.5
16,0.7666666666666667,0.5
17,0.7666666666666667,0.5
18,0.7666666666666667,0.5
19,0.7666666666666667,0.5
20,0.7666666666666667,0.5
21,0.7666666666666667,0.5
22,0.7666666666666667,0.5
23,0.7333333333333333,0.5
24,0.7333333333333333,0.5
25,0.7666666666666667,0.5
26,0.7333333333333333,0.5
27,0.8,0.5
28,0.7,0.5
29,0.6666666666666666,0.5
30,0.7,0.5
31,0.7333333333333333,0.5
32,0.7333333333333333,0.5
