layer,probe_acc,chance
0,0.9626262626262626,0.3333333333333333
1,0.9888888888888889,0.3333333333333333
2,0.9888888888888889,0.3333333333333333
3,0.9419191919191919,0.3333333333333333
4,0.9570707070707071,0.3333333333333333
5,0.9570707070707071,0.3333333333333333
6,0.9888888888888889,0.3333333333333333
7,0.9737373737373738,0.3333333333333333
8,0.9888888888888889,0.3333333333333333
9,0.9777777777777779,0.3333333333333333
10,0.9626262626262626,0.3333333333333333
11,0.945959595959596,0.3333333333333333
12,0.945959595959596,0.3333333333333333
13,0.9611111111111111,0.3333333333333333
14,0.9570707070707071,0.3333333333333333
15,0.9722222222222222,0.3333333333333333
16,0.9570707070707071,0.3333333333333333
17,0.9570707070707071,0.3333333333333333
18,0.9419191919191919,0.3333333333333333
19,0.9308080808080806,0.3333333333333333
20,0.9348484848484849,0.3333333333333333
21,0.9181818181818181,0.3333333333333333
22,0.907070707070707,0.3333333333333333
23,0.9015151515151515,0.3333333333333333
24,0.9101010101010102,0.3333333333333333
25,0.945959595959596,0.3333333333333333
26,0.8878787878787878,0.3333333333333333
27,0.8808080808080808,0.3333333333333333
28,0.8474747474747475,0.3333333333333333
29,0.8363636363636363,0.3333333333333333
30,0.8101010101010101,0.3333333333333333
31,0.7823232323232324,0.3333333333333333
32,0.7393939393939393,0.3333333333333333
