layer,probe_acc_mlp,chance
0,0.08421052631578947,0.07692307692307693
1,0.04434697855750488,0.07692307692307693
2,0.08226120857699805,0.07692307692307693
3,0.036062378167641324,0.07692307692307693
4,0.04483430799220273,0.07692307692307693
5,0.0665692007797271,0.07692307692307693
6,0.0915204678362573,0.07692307692307693
7,0.07397660818713449,0.07692307692307693
8,0.04717348927875243,0.07692307692307693
9,0.05409356725146199,0.07692307692307693
10,0.07446393762183236,0.07692307692307693
11,0.0804093567251462,0.07692307692307693
12,0.0638401559454191,0.07692307692307693
13,0.09892787524366471,0.07692307692307693
14,0.05594541910331383,0.07692307692307693
15,0.04483430799220273,0.07692307692307693
16,0.05360623781676413,0.07692307692307693
17,0.05828460038986355,0.07692307692307693
18,0.05594541910331383,0.07692307692307693
19,0.06237816764132553,0.07692307692307693
20,0.07397660818713449,0.07692307692307693
21,0.07992202729044834,0.07692307692307693
22,0.04434697855750488,0.07692307692307693
23,0.06237816764132553,0.07692307692307693
24,0.06286549707602339,0.07692307692307693
25,0.06705653021442495,0.07692307692307693
26,0.09200779727095516,0.07692307692307693
27,0.08693957115009747,0.07692307692307693
28,0.08693957115009747,0.07692307692307693
29,0.08460038986354775,0.07692307692307693
30,0.029142300194931775,0.07692307692307693
31,0.04951267056530214,0.07692307692307693
32,0.051364522417154,0.07692307692307693
