layer,probe_acc_mlp,chance
0,0.10975513139291111,0.08333333333333333
1,0.09879150212081322,0.08333333333333333
2,0.1105626249329628,0.08333333333333333
3,0.09652137877236604,0.08333333333333333
4,0.09571388523231437,0.08333333333333333
5,0.0824801326117693,0.08333333333333333
6,0.07846094778411583,0.08333333333333333
7,0.1401077470625518,0.08333333333333333
8,0.13220345180634782,0.08333333333333333
9,0.15334149968309688,0.08333333333333333
10,0.10090926819755253,0.08333333333333333
11,0.11283274828140999,0.08333333333333333
12,0.08876944078786993,0.08333333333333333
13,0.0931573302130564,0.08333333333333333
14,0.13030203305543367,0.08333333333333333
15,0.09783165130905368,0.08333333333333333
16,0.10412095948515432,0.08333333333333333
17,0.11041026766125495,0.08333333333333333
18,0.10134805714007118,0.08333333333333333
19,0.05666776363902296,0.08333333333333333
20,0.08540539222856029,0.08333333333333333
21,0.07699831797572033,0.08333333333333333
22,0.06134208473502023,0.08333333333333333
23,0.07488055189898103,0.08333333333333333
24,0.056820120910730826,0.08333333333333333
