layer,probe_acc_mlp,chance
0,0.05170940170940171,0.041666666666666664
1,0.022222222222222223,0.041666666666666664
2,0.041666666666666664,0.041666666666666664
3,0.03226495726495726,0.041666666666666664
4,0.022222222222222223,0.041666666666666664
5,0.05555555555555556,0.041666666666666664
6,0.07008547008547009,0.041666666666666664
7,0.0,0.041666666666666664
8,0.06837606837606837,0.041666666666666664
9,0.0655982905982906,0.041666666666666664
10,0.08504273504273503,0.041666666666666664
11,0.041666666666666664,0.041666666666666664
12,0.04722222222222222,0.041666666666666664
13,0.036111111111111115,0.041666666666666664
14,0.019444444444444445,0.041666666666666664
15,0.016666666666666666,0.041666666666666664
16,0.019444444444444445,0.041666666666666664
17,0.041666666666666664,0.041666666666666664
18,0.030555555555555558,0.041666666666666664
19,0.030555555555555558,0.041666666666666664
20,0.041666666666666664,0.041666666666666664
21,0.012820512820512822,0.041666666666666664
22,0.011111111111111112,0.041666666666666664
23,0.011111111111111112,0.041666666666666664
24,0.02393162393162393,0.041666666666666664
25,0.022222222222222223,0.041666666666666664
26,0.022222222222222223,0.041666666666666664
27,0.03333333333333333,0.041666666666666664
28,0.011111111111111112,0.041666666666666664
29,0.05448717948717949,0.041666666666666664
30,0.022222222222222223,0.041666666666666664
31,0.041666666666666664,0.041666666666666664
32,0.030555555555555558,0.041666666666666664
