layer,probe_acc,chance
0,0.7333333333333333,0.5
1,0.7666666666666667,0.5
2,0.9,0.5
3,0.8666666666666667,0.5
4,0.9,0.5
5,0.9,0.5
6,0.9,0.5
7,0.8666666666666667,0.5
8,0.8666666666666667,0.5
9,0.8666666666666667,0.5
10,0.8666666666666667,0.5
11,0.8666666666666667,0.5
12,0.8666666666666667,0.5
13,0.8666666666666667,0.5
14,0.8666666666666667,0.5
15,0.8666666666666667,0.5
16,0.8333333333333334,0.5
17,0.8333333333333334,0.5
18,0.8,0.5
19,0.7666666666666667,0.5
20,0.8333333333333334,0.5
21,0.8333333333333334,0.5
22,0.8333333333333334,0.5
23,0.7666666666666667,0.5
24,0.8,0.5
