layer,probe_acc_mlp,chance
0,0.05594541910331383,0.07692307692307693
1,0.028654970760233916,0.07692307692307693
2,0.0577972709551657,0.07692307692307693
3,0.049025341130604284,0.07692307692307693
4,0.05087719298245614,0.07692307692307693
5,0.05497076023391812,0.07692307692307693
6,0.09064327485380115,0.07692307692307693
7,0.06608187134502924,0.07692307692307693
8,0.042105263157894736,0.07692307692307693
9,0.039766081871345026,0.07692307692307693
10,0.08001949317738792,0.07692307692307693
11,0.07816764132553607,0.07692307692307693
12,0.04766081871345029,0.07692307692307693
13,0.07397660818713449,0.07692307692307693
14,0.08557504873294347,0.07692307692307693
15,0.06569200779727095,0.07692307692307693
16,0.07680311890838205,0.07692307692307693
17,0.0577972709551657,0.07692307692307693
18,0.0601364522417154,0.07692307692307693
19,0.05321637426900585,0.07692307692307693
20,0.0665692007797271,0.07692307692307693
21,0.06471734892787524,0.07692307692307693
22,0.026803118908382065,0.07692307692307693
23,0.02631578947368421,0.07692307692307693
24,0.07816764132553607,0.07692307692307693
25,0.09668615984405458,0.07692307692307693
26,0.07914230019493178,0.07692307692307693
27,0.009259259259259259,0.07692307692307693
28,0.06237816764132553,0.07692307692307693
29,0.06286549707602339,0.07692307692307693
30,0.05594541910331383,0.07692307692307693
31,0.07348927875243665,0.07692307692307693
32,0.07300194931773879,0.07692307692307693
