task,img,metric,score,null,p,acc_5c,acc_10c,acc_25c,acc_50c,acc_100c,beats_snap,chance
cents,spectrogram,bal_acc,0.471,0.491,0.6517,0.483,0.605,0.495,0.285,0.496,,
tuning,spectrogram,mae_cents,19.5,15.0,,,,,,,-4.5,
octave,spectrogram,bal_acc,0.833,0.328,0.005,,,,,,,0.333
cents,f0contour,bal_acc,0.616,0.5,0.005,0.696,0.538,0.645,0.6,0.714,,
tuning,f0contour,mae_cents,17.95,15.0,,,,,,,-2.95,
octave,f0contour,bal_acc,0.971,0.328,0.005,,,,,,,0.333
