layer,probe_acc_mlp,chance
0,0.060042735042735045,0.041666666666666664
1,0.011111111111111112,0.041666666666666664
2,0.012820512820512822,0.041666666666666664
3,0.019444444444444445,0.041666666666666664
4,0.02393162393162393,0.041666666666666664
5,0.061111111111111116,0.041666666666666664
6,0.044444444444444446,0.041666666666666664
7,0.03782051282051282,0.041666666666666664
8,0.07841880341880342,0.041666666666666664
9,0.05064102564102565,0.041666666666666664
10,0.061752136752136755,0.041666666666666664
11,0.0655982905982906,0.041666666666666664
12,0.02777777777777778,0.041666666666666664
13,0.03782051282051282,0.041666666666666664
14,0.019444444444444445,0.041666666666666664
15,0.019444444444444445,0.041666666666666664
16,0.030555555555555558,0.041666666666666664
17,0.008333333333333333,0.041666666666666664
18,0.041666666666666664,0.041666666666666664
19,0.019444444444444445,0.041666666666666664
20,0.024999999999999998,0.041666666666666664
21,0.030555555555555558,0.041666666666666664
22,0.019444444444444445,0.041666666666666664
23,0.02115384615384615,0.041666666666666664
24,0.0405982905982906,0.041666666666666664
25,0.03782051282051282,0.041666666666666664
26,0.02115384615384615,0.041666666666666664
27,0.05961538461538462,0.041666666666666664
28,0.019444444444444445,0.041666666666666664
29,0.02115384615384615,0.041666666666666664
30,0.06282051282051282,0.041666666666666664
31,0.03226495726495726,0.041666666666666664
32,0.02393162393162393,0.041666666666666664
