layer,probe_acc,chance
0,0.045085470085470085,0.041666666666666664
1,0.20790598290598292,0.041666666666666664
2,0.19508547008547006,0.041666666666666664
3,0.1467948717948718,0.041666666666666664
4,0.12457264957264957,0.041666666666666664
5,0.12735042735042734,0.041666666666666664
6,0.13183760683760684,0.041666666666666664
7,0.14017094017094014,0.041666666666666664
8,0.14017094017094014,0.041666666666666664
9,0.12735042735042734,0.041666666666666664
10,0.1485042735042735,0.041666666666666664
11,0.1485042735042735,0.041666666666666664
12,0.1467948717948718,0.041666666666666664
13,0.16068376068376067,0.041666666666666664
14,0.19914529914529913,0.041666666666666664
15,0.17521367521367523,0.041666666666666664
16,0.18183760683760686,0.041666666666666664
17,0.15405982905982907,0.041666666666666664
18,0.13354700854700854,0.041666666666666664
19,0.11794871794871793,0.041666666666666664
20,0.10790598290598291,0.041666666666666664
21,0.0967948717948718,0.041666666666666664
22,0.08846153846153847,0.041666666666666664
23,0.09957264957264957,0.041666666666666664
24,0.07564102564102565,0.041666666666666664
