layer,probe_acc,chance
0,0.76,0.2
1,0.6,0.2
2,0.56,0.2
3,0.6,0.2
4,0.64,0.2
5,0.72,0.2
6,0.72,0.2
7,0.72,0.2
8,0.64,0.2
9,0.68,0.2
10,0.68,0.2
11,0.64,0.2
12,0.68,0.2
13,0.68,0.2
14,0.68,0.2
15,0.68,0.2
16,0.72,0.2
17,0.64,0.2
18,0.64,0.2
19,0.64,0.2
20,0.64,0.2
21,0.72,0.2
22,0.64,0.2
23,0.68,0.2
24,0.68,0.2
