layer,probe_acc,chance
0,0.16303418803418804,0.041666666666666664
1,0.16858974358974357,0.041666666666666664
2,0.11794871794871793,0.041666666666666664
3,0.127991452991453,0.041666666666666664
4,0.127991452991453,0.041666666666666664
5,0.14294871794871794,0.041666666666666664
6,0.13012820512820514,0.041666666666666664
7,0.14294871794871794,0.041666666666666664
8,0.16688034188034187,0.041666666666666664
9,0.11901709401709402,0.041666666666666664
10,0.11068376068376069,0.041666666666666664
11,0.0811965811965812,0.041666666666666664
12,0.0811965811965812,0.041666666666666664
13,0.07670940170940171,0.041666666666666664
14,0.06837606837606837,0.041666666666666664
15,0.09786324786324785,0.041666666666666664
16,0.08952991452991453,0.041666666666666664
17,0.07115384615384616,0.041666666666666664
18,0.05555555555555556,0.041666666666666664
19,0.05555555555555556,0.041666666666666664
20,0.03888888888888889,0.041666666666666664
21,0.06388888888888888,0.041666666666666664
22,0.05555555555555556,0.041666666666666664
23,0.08333333333333333,0.041666666666666664
24,0.048931623931623924,0.041666666666666664
25,0.048931623931623924,0.041666666666666664
26,0.03226495726495726,0.041666666666666664
27,0.05170940170940171,0.041666666666666664
28,0.045085470085470085,0.041666666666666664
29,0.02777777777777778,0.041666666666666664
30,0.02777777777777778,0.041666666666666664
31,0.03226495726495726,0.041666666666666664
32,0.0405982905982906,0.041666666666666664
