layer,probe_acc,chance,encoder,task,target
18,0.0555555555555555,0.0416666666666666,af3_own,key_id,ground_truth
19,0.0555555555555555,0.0416666666666666,af3_own,key_id,ground_truth
20,0.0388888888888888,0.0416666666666666,af3_own,key_id,ground_truth
21,0.0638888888888888,0.0416666666666666,af3_own,key_id,ground_truth
22,0.0555555555555555,0.0416666666666666,af3_own,key_id,ground_truth
23,0.0833333333333333,0.0416666666666666,af3_own,key_id,ground_truth
24,0.0489316239316239,0.0416666666666666,af3_own,key_id,ground_truth
25,0.0489316239316239,0.0416666666666666,af3_own,key_id,ground_truth
26,0.0322649572649572,0.0416666666666666,af3_own,key_id,ground_truth
27,0.0517094017094017,0.0416666666666666,af3_own,key_id,ground_truth
28,0.04508547008547,0.0416666666666666,af3_own,key_id,ground_truth
29,0.0277777777777777,0.0416666666666666,af3_own,key_id,ground_truth
30,0.0277777777777777,0.0416666666666666,af3_own,key_id,ground_truth
31,0.0322649572649572,0.0416666666666666,af3_own,key_id,ground_truth
32,0.0405982905982906,0.0416666666666666,af3_own,key_id,ground_truth
0,0.0684210526315789,0.0769230769230769,af3_own,mode_id,ground_truth
1,0.0379142300194931,0.0769230769230769,af3_own,mode_id,ground_truth
2,0.0485380116959064,0.0769230769230769,af3_own,mode_id,ground_truth
3,0.0490253411306042,0.0769230769230769,af3_own,mode_id,ground_truth
4,0.0869395711500974,0.0769230769230769,af3_own,mode_id,ground_truth
5,0.0698830409356725,0.0769230769230769,af3_own,mode_id,ground_truth
6,0.0587719298245614,0.0769230769230769,af3_own,mode_id,ground_truth
7,0.0471734892787524,0.0769230769230769,af3_own,mode_id,ground_truth
8,0.0559454191033138,0.0769230769230769,af3_own,mode_id,ground_truth
9,0.0554580896686159,0.0769230769230769,af3_own,mode_id,ground_truth
10,0.0448343079922027,0.0769230769230769,af3_own,mode_id,ground_truth
11,0.0291423001949317,0.0769230769230769,af3_own,mode_id,ground_truth
12,0.0180311890838206,0.0769230769230769,af3_own,mode_id,ground_truth
13,0.0355750487329434,0.0769230769230769,af3_own,mode_id,ground_truth
14,0.026803118908382,0.0769230769230769,af3_own,mode_id,ground_truth
15,0.026803118908382,0.0769230769230769,af3_own,mode_id,ground_truth
16,0.026803118908382,0.0769230769230769,af3_own,mode_id,ground_truth
17,0.026803118908382,0.0769230769230769,af3_own,mode_id,ground_truth
18,0.0582846003898635,0.0769230769230769,af3_own,mode_id,ground_truth
19,0.0490253411306042,0.0769230769230769,af3_own,mode_id,ground_truth
20,0.0291423001949317,0.0769230769230769,af3_own,mode_id,ground_truth
21,0.0675438596491228,0.0769230769230769,af3_own,mode_id,ground_truth
22,0.0314814814814814,0.0769230769230769,af3_own,mode_id,ground_truth
23,0.0587719298245614,0.0769230769230769,af3_own,mode_id,ground_truth
24,0.0466861598440545,0.0769230769230769,af3_own,mode_id,ground_truth
25,0.0652046783625731,0.0769230769230769,af3_own,mode_id,ground_truth
26,0.0739766081871344,0.0769230769230769,af3_own,mode_id,ground_truth
27,0.0734892787524366,0.0769230769230769,af3_own,mode_id,ground_truth
28,0.0554580896686159,0.0769230769230769,af3_own,mode_id,ground_truth
29,0.0466861598440545,0.0769230769230769,af3_own,mode_id,ground_truth
30,0.0758284600389863,0.0769230769230769,af3_own,mode_id,ground_truth
31,0.0471734892787524,0.0769230769230769,af3_own,mode_id,ground_truth
32,0.0739766081871344,0.0769230769230769,af3_own,mode_id,ground_truth
0,0.12,0.2,clap,beats_per_bar,ground_truth
1,0.0,0.2,clap,beats_per_bar,ground_truth
2,0.12,0.2,clap,beats_per_bar,ground_truth
3,0.16,0.2,clap,beats_per_bar,ground_truth
4,0.16,0.2,clap,beats_per_bar,ground_truth
0,0.6222222222222222,0.3333333333333333,clap,cents_discrimination,ground_truth
1,0.4222222222222222,0.3333333333333333,clap,cents_discrimination,ground_truth
2,0.3555555555555555,0.3333333333333333,clap,cents_discrimination,ground_truth
3,0.4222222222222222,0.3333333333333333,clap,cents_discrimination,ground_truth
4,0.2888888888888888,0.3333333333333333,clap,cents_discrimination,ground_truth
0,0.1773809523809524,0.125,clap,chord_quality,quality
1,0.1642857142857142,0.125,clap,chord_quality,quality
2,0.1444444444444444,0.125,clap,chord_quality,quality
3,0.1257936507936508,0.125,clap,chord_quality,quality
4,0.0876984126984127,0.125,clap,chord_quality,quality
0,0.5237373737373737,0.25,clap,instrument_id,program
1,0.3631313131313131,0.25,clap,instrument_id,program
2,0.5292929292929293,0.25,clap,instrument_id,program
3,0.5429292929292929,0.25,clap,instrument_id,program
4,0.6247474747474747,0.25,clap,instrument_id,program
0,0.0824801326117693,0.0833333333333333,clap,interval_id,ground_truth
1,0.0623019355467797,0.0833333333333333,clap,interval_id,ground_truth
2,0.0614944420067281,0.0833333333333333,clap,interval_id,ground_truth
3,0.0530873677538881,0.0833333333333333,clap,interval_id,ground_truth
4,0.0558602700989712,0.0833333333333333,clap,interval_id,ground_truth
0,0.0111111111111111,0.0416666666666666,clap,key_id,ground_truth
1,0.0166666666666666,0.0416666666666666,clap,key_id,ground_truth
2,0.0517094017094017,0.0416666666666666,clap,key_id,ground_truth
3,0.0,0.0416666666666666,clap,key_id,ground_truth
4,0.0222222222222222,0.0416666666666666,clap,key_id,ground_truth
0,0.1137426900584795,0.0769230769230769,clap,mode_id,ground_truth
1,0.0869395711500974,0.0769230769230769,clap,mode_id,ground_truth
2,0.1114035087719298,0.0769230769230769,clap,mode_id,ground_truth
3,0.087037037037037,0.0769230769230769,clap,mode_id,ground_truth
4,0.0407407407407407,0.0769230769230769,clap,mode_id,ground_truth
0,0.2711640211640211,0.2,clap,note_count,ground_truth
1,0.2738095238095238,0.2,clap,note_count,ground_truth
2,0.1917989417989417,0.2,clap,note_count,ground_truth
3,0.3108465608465608,0.2,clap,note_count,ground_truth
4,0.2949735449735449,0.2,clap,note_count,ground_truth
0,0.3489898989898989,0.3333333333333333,clap,octave_id,octave
1,0.6176767676767677,0.3333333333333333,clap,octave_id,octave
2,0.4308080808080808,0.3333333333333333,clap,octave_id,octave
3,0.347979797979798,0.3333333333333333,clap,octave_id,octave
4,0.2782828282828282,0.3333333333333333,clap,octave_id,octave
0,0.101010101010101,0.0833333333333333,clap,pitch_note_id,pitch_class
1,0.0954545454545454,0.0833333333333333,clap,pitch_note_id,pitch_class
2,0.0929292929292929,0.0833333333333333,clap,pitch_note_id,pitch_class
3,0.0818181818181818,0.0833333333333333,clap,pitch_note_id,pitch_class
4,0.0636363636363636,0.0833333333333333,clap,pitch_note_id,pitch_class
0,0.6333333333333333,0.5,clap,tuning_judgment,ground_truth
1,0.6,0.5,clap,tuning_judgment,ground_truth
2,0.7,0.5,clap,tuning_judgment,ground_truth
3,0.6666666666666666,0.5,clap,tuning_judgment,ground_truth
4,0.6333333333333333,0.5,clap,tuning_judgment,ground_truth
0,0.76,0.2,mert330,beats_per_bar,ground_truth
1,0.6,0.2,mert330,beats_per_bar,ground_truth
2,0.56,0.2,mert330,beats_per_bar,ground_truth
3,0.6,0.2,mert330,beats_per_bar,ground_truth
4,0.64,0.2,mert330,beats_per_bar,ground_truth
5,0.72,0.2,mert330,beats_per_bar,ground_truth
6,0.72,0.2,mert330,beats_per_bar,ground_truth
7,0.72,0.2,mert330,beats_per_bar,ground_truth
8,0.64,0.2,mert330,beats_per_bar,ground_truth
9,0.68,0.2,mert330,beats_per_bar,ground_truth
10,0.68,0.2,mert330,beats_per_bar,ground_truth
11,0.64,0.2,mert330,beats_per_bar,ground_truth
12,0.68,0.2,mert330,beats_per_bar,ground_truth
13,0.68,0.2,mert330,beats_per_bar,ground_truth
14,0.68,0.2,mert330,beats_per_bar,ground_truth
15,0.68,0.2,mert330,beats_per_bar,ground_truth
16,0.72,0.2,mert330,beats_per_bar,ground_truth
17,0.64,0.2,mert330,beats_per_bar,ground_truth
18,0.64,0.2,mert330,beats_per_bar,ground_truth
19,0.64,0.2,mert330,beats_per_bar,ground_truth
20,0.64,0.2,mert330,beats_per_bar,ground_truth
21,0.72,0.2,mert330,beats_per_bar,ground_truth
22,0.64,0.2,mert330,beats_per_bar,ground_truth
23,0.68,0.2,mert330,beats_per_bar,ground_truth
24,0.68,0.2,mert330,beats_per_bar,ground_truth
0,0.4666666666666667,0.3333333333333333,mert330,cents_discrimination,ground_truth
1,0.3777777777777777,0.3333333333333333,mert330,cents_discrimination,ground_truth
2,0.3777777777777777,0.3333333333333333,mert330,cents_discrimination,ground_truth
3,0.4888888888888889,0.3333333333333333,mert330,cents_discrimination,ground_truth
4,0.4666666666666667,0.3333333333333333,mert330,cents_discrimination,ground_truth
5,0.4666666666666667,0.3333333333333333,mert330,cents_discrimination,ground_truth
6,0.5111111111111111,0.3333333333333333,mert330,cents_discrimination,ground_truth
7,0.4666666666666667,0.3333333333333333,mert330,cents_discrimination,ground_truth
8,0.4,0.3333333333333333,mert330,cents_discrimination,ground_truth
9,0.4222222222222222,0.3333333333333333,mert330,cents_discrimination,ground_truth
10,0.5111111111111111,0.3333333333333333,mert330,cents_discrimination,ground_truth
11,0.4888888888888889,0.3333333333333333,mert330,cents_discrimination,ground_truth
12,0.4888888888888889,0.3333333333333333,mert330,cents_discrimination,ground_truth
13,0.4888888888888889,0.3333333333333333,mert330,cents_discrimination,ground_truth
14,0.4444444444444444,0.3333333333333333,mert330,cents_discrimination,ground_truth
15,0.4,0.3333333333333333,mert330,cents_discrimination,ground_truth
16,0.4,0.3333333333333333,mert330,cents_discrimination,ground_truth
17,0.4,0.3333333333333333,mert330,cents_discrimination,ground_truth
18,0.4222222222222222,0.3333333333333333,mert330,cents_discrimination,ground_truth
19,0.4,0.3333333333333333,mert330,cents_discrimination,ground_truth
20,0.3777777777777777,0.3333333333333333,mert330,cents_discrimination,ground_truth
21,0.4222222222222222,0.3333333333333333,mert330,cents_discrimination,ground_truth
22,0.3777777777777777,0.3333333333333333,mert330,cents_discrimination,ground_truth
23,0.3777777777777777,0.3333333333333333,mert330,cents_discrimination,ground_truth
24,0.4222222222222222,0.3333333333333333,mert330,cents_discrimination,ground_truth
0,0.15,0.125,mert330,chord_quality,quality
1,0.1785714285714285,0.125,mert330,chord_quality,quality
2,0.1638888888888889,0.125,mert330,chord_quality,quality
3,0.2376984126984127,0.125,mert330,chord_quality,quality
4,0.2376984126984127,0.125,mert330,chord_quality,quality
5,0.2126984126984127,0.125,mert330,chord_quality,quality
6,0.2047619047619047,0.125,mert330,chord_quality,quality
7,0.1884920634920635,0.125,mert330,chord_quality,quality
8,0.1638888888888889,0.125,mert330,chord_quality,quality
9,0.1999999999999999,0.125,mert330,chord_quality,quality
10,0.167063492063492,0.125,mert330,chord_quality,quality
11,0.1999999999999999,0.125,mert330,chord_quality,quality
12,0.192063492063492,0.125,mert330,chord_quality,quality
13,0.1591269841269841,0.125,mert330,chord_quality,quality
14,0.1341269841269841,0.125,mert330,chord_quality,quality
15,0.142063492063492,0.125,mert330,chord_quality,quality
16,0.1809523809523809,0.125,mert330,chord_quality,quality
17,0.1869047619047619,0.125,mert330,chord_quality,quality
18,0.1948412698412698,0.125,mert330,chord_quality,quality
19,0.1619047619047618,0.125,mert330,chord_quality,quality
20,0.1619047619047618,0.125,mert330,chord_quality,quality
21,0.1777777777777777,0.125,mert330,chord_quality,quality
22,0.1726190476190476,0.125,mert330,chord_quality,quality
23,0.2027777777777778,0.125,mert330,chord_quality,quality
24,0.1805555555555555,0.125,mert330,chord_quality,quality
0,0.7722222222222221,0.25,mert330,instrument_id,program
1,0.76010101010101,0.25,mert330,instrument_id,program
2,0.8015151515151516,0.25,mert330,instrument_id,program
3,0.7727272727272728,0.25,mert330,instrument_id,program
4,0.8212121212121213,0.25,mert330,instrument_id,program
5,0.8338383838383838,0.25,mert330,instrument_id,program
6,0.86010101010101,0.25,mert330,instrument_id,program
7,0.8919191919191919,0.25,mert330,instrument_id,program
8,0.8792929292929292,0.25,mert330,instrument_id,program
9,0.9111111111111112,0.25,mert330,instrument_id,program
10,0.895959595959596,0.25,mert330,instrument_id,program
