task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
key_id,40,0.625,0.575,-0.05,-0.16666666666666666,0.07692307692307693,0.75390625,4,6
mode_id,36,0.19444444444444445,0.25,0.05555555555555555,-0.05,0.17391304347826086,0.7265625,5,3
chord_quality,24,0.16666666666666666,0.2916666666666667,0.125,-0.07142857142857142,0.3125,0.5078125,6,3
interval_id,53,0.39622641509433965,0.4528301886792453,0.05660377358490566,-0.06451612903225806,0.18181818181818182,0.6476058959960938,11,8
