task,n,acc_audio,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
cents_discrimination,117,0.5470085470085471,0.9401709401709402,0.39316239316239315,0.3194444444444444,0.46153846153846156,2.842170943040401e-14,46,0
tuning_judgment,81,0.5308641975308642,0.8888888888888888,0.35802469135802467,0.25,0.4666666666666667,4.176981747150421e-07,32,3
octave_id,90,0.8,0.8444444444444444,0.044444444444444446,-0.08333333333333333,0.17543859649122806,0.5412561893463135,14,10
note_count,84,0.8571428571428571,0.8928571428571429,0.03571428571428571,-0.08771929824561403,0.15789473684210525,0.6636238098144531,12,9
