task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
tempo_bpm,66,0.36363636363636365,0.21212121212121213,-0.15151515151515152,-0.23076923076923078,-0.05555555555555555,0.00634765625,1,11
beats_per_bar,33,0.12121212121212122,0.12121212121212122,0.0,-0.20055555555555554,0.19047619047619047,1.0,4,4
