task,n,acc_a,acc_b,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
tuning_judgment,81,0.5185185185185185,0.5308641975308642,0.012345679012345678,-0.09803921568627451,0.125,1.0,15,14
tuning_judgment,81,0.5185185185185185,0.5432098765432098,0.024691358024691357,-0.058823529411764705,0.1111111111111111,0.8238029479980469,11,9
