task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
tempo_bpm,22,0.36363636363636365,0.18181818181818182,-0.18181818181818182,-0.3076923076923077,-0.06666666666666667,0.125,0,4
beats_per_bar,11,0.09090909090909091,0.09090909090909091,0.0,-0.16666666666666666,0.16666666666666666,1.0,1,1
