task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
key_id,40,0.6,0.525,-0.075,-0.2,0.043478260869565216,0.548828125,4,7
mode_id,36,0.2222222222222222,0.1388888888888889,-0.08333333333333333,-0.18181818181818182,0.04,0.453125,2,5
chord_quality,24,0.125,0.3333333333333333,0.20833333333333334,0.0,0.38472222222222163,0.1796875,7,2
interval_id,53,0.4528301886792453,0.4716981132075472,0.018867924528301886,-0.1143131868131868,0.16129032258064516,1.0,12,11
