task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
key_id,120,0.6166666666666667,0.5,-0.11666666666666667,-0.21428571428571427,-0.013320512820512892,0.016124801710247997,8,22
mode_id,108,0.18518518518518517,0.19444444444444445,0.009259259259259259,-0.09333333333333334,0.11539855072463762,1.0,12,11
chord_quality,72,0.19444444444444445,0.3194444444444444,0.125,-0.05555555555555555,0.307738095238095,0.13604594767093658,19,10
interval_id,159,0.4528301886792453,0.4968553459119497,0.0440251572327044,-0.06065340909090909,0.15151515151515152,0.44996253629022254,35,28
