task,n,acc_audio,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
cents_discrimination,117,0.6153846153846154,0.6410256410256411,0.02564102564102564,-0.047619047619047616,0.10666666666666667,0.711071103811264,16,13
tuning_judgment,81,0.5061728395061729,0.4567901234567901,-0.04938271604938271,-0.2037037037037037,0.09259259259259259,0.5966148958541453,14,18
octave_id,90,0.7888888888888889,0.8222222222222222,0.03333333333333333,-0.08333333333333333,0.14814814814814814,0.6776394844055176,13,10
note_count,84,0.8452380952380952,0.9047619047619048,0.05952380952380952,-0.07017543859649122,0.18518518518518517,0.38331031799316406,13,8
