task,n,acc_audio,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
cents_discrimination,117,0.8888888888888888,0.8803418803418803,-0.008547008547008548,-0.03574735449735449,0.015873015873015872,1.0,2,3
tuning_judgment,81,0.8271604938271605,0.8395061728395061,0.012345679012345678,-0.022222222222222223,0.05263157894736842,1.0,3,2
octave_id,90,0.8111111111111111,0.8111111111111111,0.0,-0.11666666666666667,0.12280701754385964,1.0,13,13
note_count,84,0.8571428571428571,0.8928571428571429,0.03571428571428571,-0.08333333333333333,0.1568627450980392,0.6476058959960938,11,8
