task,n,acc_no_image,acc_image,dacc,ci_lo,ci_hi,mcnemar_p,b_only,c_only
key_id,40,0.6,0.5,-0.1,-0.21739130434782608,0.0,0.34375,3,7
mode_id,36,0.19444444444444445,0.2777777777777778,0.08333333333333333,0.0,0.19047619047619047,0.453125,5,2
chord_quality,24,0.20833333333333334,0.2916666666666667,0.08333333333333333,-0.07692307692307693,0.26666666666666666,0.7265625,5,3
interval_id,53,0.4528301886792453,0.4528301886792453,0.0,-0.11764705882352941,0.12121212121212122,1.0,9,9
