layer,probe_acc,chance
0,0.400909090909091,0.3333333333333333
1,0.3712121212121212,0.3333333333333333
2,0.34787878787878784,0.3333333333333333
3,0.27151515151515154,0.3333333333333333
4,0.36454545454545456,0.3333333333333333
5,0.27454545454545454,0.3333333333333333
6,0.36454545454545456,0.3333333333333333
7,0.2963636363636364,0.3333333333333333
8,0.3463636363636364,0.3333333333333333
9,0.39787878787878794,0.3333333333333333
10,0.3796969696969697,0.3333333333333333
11,0.3812121212121212,0.3333333333333333
12,0.39303030303030306,0.3333333333333333
13,0.40151515151515155,0.3333333333333333
14,0.3915151515151515,0.3333333333333333
15,0.5845454545454546,0.3333333333333333
16,0.5345454545454545,0.3333333333333333
17,0.5012121212121212,0.3333333333333333
18,0.4663636363636364,0.3333333333333333
19,0.5027272727272727,0.3333333333333333
20,0.48454545454545456,0.3333333333333333
21,0.4415151515151515,0.3333333333333333
22,0.5693939393939395,0.3333333333333333
23,0.5512121212121213,0.3333333333333333
24,0.5163636363636364,0.3333333333333333
25,0.4763636363636364,0.3333333333333333
26,0.4763636363636364,0.3333333333333333
27,0.43787878787878787,0.3333333333333333
28,0.45606060606060606,0.3333333333333333
29,0.47424242424242424,0.3333333333333333
30,0.5809090909090909,0.3333333333333333
31,0.5845454545454546,0.3333333333333333
32,0.5512121212121213,0.3333333333333333
