layer,probe_acc_mlp,chance
0,0.11818181818181817,0.08333333333333333
1,0.2,0.08333333333333333
2,0.11333333333333333,0.08333333333333333
3,0.15303030303030304,0.08333333333333333
4,0.10303030303030303,0.08333333333333333
5,0.10969696969696971,0.08333333333333333
6,0.1481818181818182,0.08333333333333333
7,0.0696969696969697,0.08333333333333333
8,0.10454545454545454,0.08333333333333333
9,0.1415151515151515,0.08333333333333333
10,0.12636363636363637,0.08333333333333333
11,0.09,0.08333333333333333
12,0.10666666666666666,0.08333333333333333
13,0.051515151515151514,0.08333333333333333
14,0.1196969696969697,0.08333333333333333
15,0.0,0.08333333333333333
16,0.07333333333333333,0.08333333333333333
17,0.11333333333333333,0.08333333333333333
18,0.06818181818181818,0.08333333333333333
19,0.05,0.08333333333333333
20,0.03333333333333333,0.08333333333333333
21,0.10666666666666666,0.08333333333333333
22,0.09,0.08333333333333333
23,0.16333333333333336,0.08333333333333333
24,0.18,0.08333333333333333
