layer,probe_acc,chance
0,0.27303030303030307,0.08333333333333333
1,0.673939393939394,0.08333333333333333
2,0.6057575757575757,0.08333333333333333
3,0.5875757575757576,0.08333333333333333
4,0.5724242424242425,0.08333333333333333
5,0.5209090909090909,0.08333333333333333
6,0.5542424242424243,0.08333333333333333
7,0.5209090909090909,0.08333333333333333
8,0.5360606060606061,0.08333333333333333
9,0.48454545454545456,0.08333333333333333
10,0.48454545454545456,0.08333333333333333
11,0.38272727272727275,0.08333333333333333
12,0.4627272727272727,0.08333333333333333
13,0.4793939393939394,0.08333333333333333
14,0.443030303030303,0.08333333333333333
15,0.4212121212121212,0.08333333333333333
16,0.4212121212121212,0.08333333333333333
17,0.4081818181818182,0.08333333333333333
18,0.4445454545454545,0.08333333333333333
19,0.4445454545454545,0.08333333333333333
20,0.40969696969696967,0.08333333333333333
21,0.3530303030303031,0.08333333333333333
22,0.30636363636363634,0.08333333333333333
23,0.32303030303030306,0.08333333333333333
24,0.39939393939393936,0.08333333333333333
