layer,probe_acc,chance
0,0.3,0.3333333333333333
1,0.4263636363636364,0.3333333333333333
2,0.4363636363636364,0.3333333333333333
3,0.4363636363636364,0.3333333333333333
4,0.453030303030303,0.3333333333333333
5,0.43636363636363634,0.3333333333333333
6,0.41969696969696973,0.3333333333333333
7,0.4763636363636364,0.3333333333333333
8,0.5293939393939394,0.3333333333333333
9,0.5163636363636364,0.3333333333333333
10,0.573030303030303,0.3333333333333333
11,0.5496969696969697,0.3333333333333333
12,0.5512121212121212,0.3333333333333333
13,0.5278787878787878,0.3333333333333333
14,0.4545454545454546,0.3333333333333333
15,0.4763636363636364,0.3333333333333333
16,0.48636363636363633,0.3333333333333333
17,0.5112121212121212,0.3333333333333333
18,0.4663636363636364,0.3333333333333333
19,0.4945454545454545,0.3333333333333333
20,0.46121212121212124,0.3333333333333333
21,0.403030303030303,0.3333333333333333
22,0.403030303030303,0.3333333333333333
23,0.3878787878787879,0.3333333333333333
24,0.353030303030303,0.3333333333333333
