layer,probe_acc_mlp,chance
0,0.34939393939393937,0.3333333333333333
1,0.4954545454545454,0.3333333333333333
2,0.4590909090909091,0.3333333333333333
3,0.5339393939393939,0.3333333333333333
4,0.40606060606060607,0.3333333333333333
5,0.5242424242424243,0.3333333333333333
6,0.4327272727272728,0.3333333333333333
7,0.4712121212121212,0.3333333333333333
8,0.35787878787878785,0.3333333333333333
9,0.36424242424242426,0.3333333333333333
10,0.4275757575757576,0.3333333333333333
11,0.2642424242424242,0.3333333333333333
12,0.3578787878787879,0.3333333333333333
13,0.34424242424242424,0.3333333333333333
14,0.3848484848484849,0.3333333333333333
15,0.4445454545454545,0.3333333333333333
16,0.33818181818181814,0.3333333333333333
17,0.2996969696969697,0.3333333333333333
18,0.3796969696969697,0.3333333333333333
19,0.3396969696969697,0.3333333333333333
20,0.4078787878787879,0.3333333333333333
21,0.2881818181818182,0.3333333333333333
22,0.33666666666666667,0.3333333333333333
23,0.3148484848484848,0.3333333333333333
24,0.24151515151515152,0.3333333333333333
