layer,probe_acc,chance
0,0.20121212121212123,0.08333333333333333
1,0.11484848484848484,0.08333333333333333
2,0.053030303030303025,0.08333333333333333
3,0.05454545454545454,0.08333333333333333
4,0.09666666666666666,0.08333333333333333
5,0.09818181818181819,0.08333333333333333
6,0.11484848484848487,0.08333333333333333
7,0.056666666666666664,0.08333333333333333
8,0.056666666666666664,0.08333333333333333
9,0.07333333333333333,0.08333333333333333
10,0.09,0.08333333333333333
11,0.07333333333333333,0.08333333333333333
12,0.016666666666666666,0.08333333333333333
13,0.0,0.08333333333333333
14,0.016666666666666666,0.08333333333333333
15,0.0,0.08333333333333333
16,0.0,0.08333333333333333
17,0.0,0.08333333333333333
18,0.0,0.08333333333333333
19,0.0,0.08333333333333333
20,0.0,0.08333333333333333
21,0.0,0.08333333333333333
22,0.03484848484848485,0.08333333333333333
23,0.016666666666666666,0.08333333333333333
24,0.016666666666666666,0.08333333333333333
25,0.016666666666666666,0.08333333333333333
26,0.016666666666666666,0.08333333333333333
27,0.03484848484848485,0.08333333333333333
28,0.03333333333333333,0.08333333333333333
29,0.03333333333333333,0.08333333333333333
30,0.0,0.08333333333333333
31,0.016666666666666666,0.08333333333333333
32,0.0,0.08333333333333333
