task,layer,attn_audio_frac,uniform_frac,view,step
beats_per_bar,0.0,0.09090169270833333,0.6907793497982239,by_layer,
beats_per_bar,1.0,0.0266571044921875,0.6907793497982239,by_layer,
beats_per_bar,2.0,0.06376139322916667,0.6907793497982239,by_layer,
beats_per_bar,3.0,0.022771199544270832,0.6907793497982239,by_layer,
beats_per_bar,4.0,0.069244384765625,0.6907793497982239,by_layer,
beats_per_bar,5.0,0.035817464192708336,0.6907793497982239,by_layer,
beats_per_bar,6.0,0.08150227864583333,0.6907793497982239,by_layer,
beats_per_bar,7.0,0.048299153645833336,0.6907793497982239,by_layer,
beats_per_bar,8.0,0.017542521158854168,0.6907793497982239,by_layer,
beats_per_bar,9.0,0.035176595052083336,0.6907793497982239,by_layer,
beats_per_bar,10.0,0.030192057291666668,0.6907793497982239,by_layer,
beats_per_bar,11.0,0.0269012451171875,0.6907793497982239,by_layer,
beats_per_bar,12.0,0.028106689453125,0.6907793497982239,by_layer,
beats_per_bar,13.0,0.035369873046875,0.6907793497982239,by_layer,
beats_per_bar,14.0,0.033935546875,0.6907793497982239,by_layer,
beats_per_bar,15.0,0.0406494140625,0.6907793497982239,by_layer,
beats_per_bar,16.0,0.020398457845052082,0.6907793497982239,by_layer,
beats_per_bar,17.0,0.02471160888671875,0.6907793497982239,by_layer,
beats_per_bar,18.0,0.024200439453125,0.6907793497982239,by_layer,
beats_per_bar,19.0,0.023554484049479168,0.6907793497982239,by_layer,
beats_per_bar,20.0,0.016413370768229168,0.6907793497982239,by_layer,
beats_per_bar,21.0,0.017232259114583332,0.6907793497982239,by_layer,
beats_per_bar,22.0,0.026728312174479168,0.6907793497982239,by_layer,
beats_per_bar,23.0,0.023488362630208332,0.6907793497982239,by_layer,
beats_per_bar,24.0,0.021026611328125,0.6907793497982239,by_layer,
beats_per_bar,25.0,0.021901448567708332,0.6907793497982239,by_layer,
beats_per_bar,26.0,0.025853474934895832,0.6907793497982239,by_layer,
beats_per_bar,27.0,0.014485677083333334,0.6907793497982239,by_layer,
beats_per_bar,28.0,0.01064300537109375,0.6907793497982239,by_layer,
beats_per_bar,29.0,0.0190277099609375,0.6907793497982239,by_layer,
beats_per_bar,30.0,0.021608988444010418,0.6907793497982239,by_layer,
beats_per_bar,31.0,0.022379557291666668,0.6907793497982239,by_layer,
beats_per_bar,32.0,0.02008056640625,0.6907793497982239,by_layer,
beats_per_bar,33.0,0.014658610026041666,0.6907793497982239,by_layer,
beats_per_bar,34.0,0.031321207682291664,0.6907793497982239,by_layer,
beats_per_bar,35.0,0.02813720703125,0.6907793497982239,by_layer,
beats_per_bar,36.0,0.022313435872395832,0.6907793497982239,by_layer,
beats_per_bar,37.0,0.024419148763020832,0.6907793497982239,by_layer,
beats_per_bar,38.0,0.023320515950520832,0.6907793497982239,by_layer,
beats_per_bar,39.0,0.019498189290364582,0.6907793497982239,by_layer,
beats_per_bar,40.0,0.015263875325520834,0.6907793497982239,by_layer,
beats_per_bar,41.0,0.008700052897135416,0.6907793497982239,by_layer,
beats_per_bar,42.0,0.010912577311197916,0.6907793497982239,by_layer,
beats_per_bar,43.0,0.01699066162109375,0.6907793497982239,by_layer,
beats_per_bar,44.0,0.022349039713541668,0.6907793497982239,by_layer,
beats_per_bar,45.0,0.016138712565104168,0.6907793497982239,by_layer,
beats_per_bar,46.0,0.039143880208333336,0.6907793497982239,by_layer,
beats_per_bar,47.0,0.056477864583333336,0.6907793497982239,by_layer,
chord_quality,0.0,0.053934733072916664,0.5419729212458931,by_layer,
chord_quality,1.0,0.02142333984375,0.5419729212458931,by_layer,
chord_quality,2.0,0.04486083984375,0.5419729212458931,by_layer,
chord_quality,3.0,0.011919657389322916,0.5419729212458931,by_layer,
chord_quality,4.0,0.047098795572916664,0.5419729212458931,by_layer,
chord_quality,5.0,0.0265045166015625,0.5419729212458931,by_layer,
chord_quality,6.0,0.06597900390625,0.5419729212458931,by_layer,
chord_quality,7.0,0.039754231770833336,0.5419729212458931,by_layer,
chord_quality,8.0,0.015960693359375,0.5419729212458931,by_layer,
chord_quality,9.0,0.031260172526041664,0.5419729212458931,by_layer,
chord_quality,10.0,0.022440592447916668,0.5419729212458931,by_layer,
chord_quality,11.0,0.025034586588541668,0.5419729212458931,by_layer,
chord_quality,12.0,0.030161539713541668,0.5419729212458931,by_layer,
chord_quality,13.0,0.038604736328125,0.5419729212458931,by_layer,
chord_quality,14.0,0.0455322265625,0.5419729212458931,by_layer,
chord_quality,15.0,0.060648600260416664,0.5419729212458931,by_layer,
chord_quality,16.0,0.029088338216145832,0.5419729212458931,by_layer,
chord_quality,17.0,0.028142293294270832,0.5419729212458931,by_layer,
chord_quality,18.0,0.031463623046875,0.5419729212458931,by_layer,
chord_quality,19.0,0.02606201171875,0.5419729212458931,by_layer,
chord_quality,20.0,0.023325602213541668,0.5419729212458931,by_layer,
chord_quality,21.0,0.023600260416666668,0.5419729212458931,by_layer,
chord_quality,22.0,0.037760416666666664,0.5419729212458931,by_layer,
chord_quality,23.0,0.031656901041666664,0.5419729212458931,by_layer,
chord_quality,24.0,0.034098307291666664,0.5419729212458931,by_layer,
chord_quality,25.0,0.032663981119791664,0.5419729212458931,by_layer,
chord_quality,26.0,0.046112060546875,0.5419729212458931,by_layer,
chord_quality,27.0,0.036356608072916664,0.5419729212458931,by_layer,
chord_quality,28.0,0.018819173177083332,0.5419729212458931,by_layer,
chord_quality,29.0,0.023320515950520832,0.5419729212458931,by_layer,
chord_quality,30.0,0.02923583984375,0.5419729212458931,by_layer,
chord_quality,31.0,0.026148478190104168,0.5419729212458931,by_layer,
chord_quality,32.0,0.021326700846354168,0.5419729212458931,by_layer,
chord_quality,33.0,0.014292399088541666,0.5419729212458931,by_layer,
chord_quality,34.0,0.0301513671875,0.5419729212458931,by_layer,
chord_quality,35.0,0.023295084635416668,0.5419729212458931,by_layer,
chord_quality,36.0,0.016443888346354168,0.5419729212458931,by_layer,
chord_quality,37.0,0.021311442057291668,0.5419729212458931,by_layer,
chord_quality,38.0,0.028564453125,0.5419729212458931,by_layer,
chord_quality,39.0,0.0224609375,0.5419729212458931,by_layer,
chord_quality,40.0,0.011927286783854166,0.5419729212458931,by_layer,
chord_quality,41.0,0.010828653971354166,0.5419729212458931,by_layer,
chord_quality,42.0,0.014933268229166666,0.5419729212458931,by_layer,
chord_quality,43.0,0.031351725260416664,0.5419729212458931,by_layer,
chord_quality,44.0,0.02984619140625,0.5419729212458931,by_layer,
chord_quality,45.0,0.021753946940104168,0.5419729212458931,by_layer,
